FaceStream2, version: 1.6.0
Unknown argument: "2"
I0621 18:47:13.380610 29872 Tracker.cpp:590] minScoreOfSending      : 0.5187
I0621 18:47:13.380750 29872 Tracker.cpp:591] sendMode               : 0
I0621 18:47:13.380756 29872 Tracker.cpp:592] detectorStep           : 0
I0621 18:47:13.380759 29872 Tracker.cpp:593] minDetection           : 80
I0621 18:47:13.380762 29872 Tracker.cpp:594] detectorThreshs        : 0.5140.150.862
I0621 18:47:13.380767 29872 Tracker.cpp:595] scaleFactor            : 0.58
I0621 18:47:13.380772 29872 Tracker.cpp:597] numberOfFramesToIgnore : 36
I0621 18:47:13.380775 29872 Tracker.cpp:599] timePeriod             : 10
I0621 18:47:13.380777 29872 Tracker.cpp:600] timePeriod is repeat   : 0
I0621 18:47:13.380782 29872 Tracker.cpp:601] sendWarpingImage       : 1
I0621 18:47:13.380784 29872 Tracker.cpp:603] drawFacePoints         : 0
I0621 18:47:13.380787 29872 Tracker.cpp:604] showTrackerDet         : 0
I0621 18:47:13.380790 29872 Tracker.cpp:605] useFrg                 : 1
I0621 18:47:13.380792 29872 Tracker.cpp:607] dataPath               : ./data/
I0621 18:47:13.380795 29872 Tracker.cpp:608] log severity level     : 0
I0621 18:47:13.380798 29872 Tracker.cpp:609] log mode               : 2
I0621 18:47:13.380800 29872 Tracker.cpp:611] head-pose-estimator    : LNET
[21.06.2018 18:47:13] [Info]  [createFaceEngine] Creating FaceEngine Full
[0m[18:47:13.038][32m[flower][39m Initializing TBB task scheduler with 4 workers[0m
[0m[18:47:13.040][32m[flower][39m Num CUDA-capable devices: 1[0m
I0621 18:47:28.691864 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.727437 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.753024 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.788638 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.824167 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.859733 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.895299 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.920819 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.956466 29923 Tracker.cpp:384] Full detection.
I0621 18:47:28.982267 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.028002 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.063555 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.089946 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.127413 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.152954 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.188525 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.224150 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.269803 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.296342 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.321718 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.358222 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.386586 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.422235 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.467886 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.494395 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.530481 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.557327 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.593899 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.619961 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.656085 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.702316 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.749501 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.753994 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.787750 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.822111 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.858258 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.894398 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.920395 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.957523 29923 Tracker.cpp:384] Full detection.
I0621 18:47:29.993566 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.029724 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.056954 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.094913 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.131515 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.157642 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.193709 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.219947 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.256055 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.302258 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.328997 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.365136 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.392139 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.429129 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.455857 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.495882 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.522725 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.561936 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.598671 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.624626 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.661129 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.688472 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.725574 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.753003 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.793926 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.821069 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.857515 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.894753 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.931354 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.968588 29923 Tracker.cpp:384] Full detection.
I0621 18:47:30.995820 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.026468 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.053496 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.100724 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.138090 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.166002 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.204005 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.231664 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.270781 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.288585 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.335690 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.353762 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.391466 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.437074 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.466742 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.497066 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.533610 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.562623 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.599961 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.628813 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.654119 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.689030 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.740345 29923 FaceTracker.cpp:279] Frame 449 new detection Track 0: x=957 y=249 w=120 h=156 score=0.973
I0621 18:47:31.740425 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.778954 29923 FaceTracker.cpp:279] Frame 450 new detection Track 0: x=948 y=240 w=126 h=162 score=0.957
I0621 18:47:31.779026 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.807584 29923 FaceTracker.cpp:279] Frame 451 new detection Track 0: x=930 y=222 w=129 h=168 score=0.958
I0621 18:47:31.807657 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.812111 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:31.827086 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.832993 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:31.858180 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.886708 29923 FaceTracker.cpp:279] Frame 454 new detection Track 0: x=873 y=177 w=138 h=186 score=0.854
I0621 18:47:31.896914 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.927327 29923 FaceTracker.cpp:279] Frame 455 new detection Track 0: x=849 y=162 w=150 h=186 score=0.867
I0621 18:47:31.927392 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.959587 29923 FaceTracker.cpp:279] Frame 456 new detection Track 0: x=819 y=153 w=147 h=171 score=0.720
I0621 18:47:31.959655 29923 Tracker.cpp:384] Full detection.
I0621 18:47:31.991040 29923 FaceTracker.cpp:279] Frame 457 new detection Track 0: x=804 y=120 w=147 h=186 score=0.606
I0621 18:47:31.991106 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.021142 29923 FaceTracker.cpp:279] Frame 458 new detection Track 0: x=792 y=105 w=135 h=177 score=0.525
I0621 18:47:32.031421 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.063138 29923 FaceTracker.cpp:279] Frame 459 new detection Track 0: x=759 y=87  w=153 h=189 score=0.843
Not enough livenesses checks
I0621 18:47:32.063225 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.068034 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.084154 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.088436 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.124608 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.129216 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.155341 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.166435 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.198132 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.242848 29923 FaceTracker.cpp:279] Frame 464 new detection Track 0: x=675 y=0   w=171 h=198 score=0.809
I0621 18:47:32.242920 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.247678 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.262473 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.267318 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.292212 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.296125 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.331091 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.337527 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.366755 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.373867 29923 FaceTracker.cpp:101] Track 0 wasn't updated
I0621 18:47:32.402994 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.411736 29923 FaceTracker.cpp:101] Track 0 wasn't updated
	LIVENESS CHECK:
0.521492 0.531331 0.499574 0.557292 0.536334 0.743542 0.867014 0.869726 0.903906 0.837241 
	Liveness check successfully passed: 0.686745 > 0.5
[0;33mW0621 18:47:32.426278 29923 Player.cpp:711] The result for Track 0 was sended. Frame: 464
[mI0621 18:47:32.426527 29923 Tracker.cpp:527] The best detection for Track 0 was found on frame 464 with Score=0.809222
I0621 18:47:32.436936 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.472815 29923 Tracker.cpp:384] Full detection.
[0;33mW0621 18:47:32.473642 29912 Player.cpp:722] Received response status code:201 for Track 0
[mI0621 18:47:32.473839 29912 Player.cpp:759] ---m_sendJsonCounter 0
I0621 18:47:32.500301 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.534545 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.558657 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.604589 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.632387 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.661552 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.696375 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.733708 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.773211 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.794965 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.832545 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.863653 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.905079 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.940062 29923 Tracker.cpp:384] Full detection.
I0621 18:47:32.954489 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.000666 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.037649 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.064240 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.100339 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.137405 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.162988 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.199007 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.233939 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.268932 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.293826 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.338855 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.369483 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.393335 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.427196 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.471279 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.495362 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.540355 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.565397 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.613401 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.628167 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.673036 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.688858 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.744976 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.760519 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.805413 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.831336 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.876297 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.901183 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.936022 29923 Tracker.cpp:384] Full detection.
I0621 18:47:33.962131 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.007150 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.032097 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.067018 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.091857 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.136905 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.161739 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.197672 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.222501 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.267475 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.295243 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.330219 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.365099 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.400009 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.435902 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.460793 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.495723 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.540745 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.565594 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.600471 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.625346 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.670327 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.695214 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.730099 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.765025 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.799959 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.824790 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.859731 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.904763 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.929641 29923 Tracker.cpp:384] Full detection.
I0621 18:47:34.964514 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.002315 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.028273 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.073469 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.098496 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.133364 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.168323 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.203266 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.228183 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.264628 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.310297 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.337200 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.372829 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.398419 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.434094 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.469740 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.507314 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.532490 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.568107 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.605078 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.631628 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.667805 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.706934 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.734151 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.770316 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.797330 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.834331 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.871601 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.908629 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.946665 29923 Tracker.cpp:384] Full detection.
I0621 18:47:35.974364 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.012388 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.040009 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.077287 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.115084 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.162848 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.166874 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.200909 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.278856 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.297865 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.303203 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.338707 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.364089 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.401260 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.436396 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.472421 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.499011 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.535603 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.563585 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.601049 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.638505 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.676204 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.704632 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.742297 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.769948 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.799777 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.836125 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.872980 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.899513 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.946108 29923 Tracker.cpp:384] Full detection.
I0621 18:47:36.975100 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.013094 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.040511 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.069558 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.099675 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.137171 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.163540 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.201043 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.238440 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.268200 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.295459 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.332773 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.379392 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.405892 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.442801 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.472983 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.503844 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.530339 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.567631 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.614392 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.641553 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.680075 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.707387 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.737015 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.761519 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.797400 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.834991 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.870573 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.903223 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.939605 29923 Tracker.cpp:384] Full detection.
I0621 18:47:37.965279 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.002123 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.030141 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.066915 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.096040 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.134063 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.170658 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.197643 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.244819 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.281846 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.309753 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.347682 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.374603 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.411334 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.437558 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.473664 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.503408 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.539525 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.565598 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.641965 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.649130 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.675585 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.700978 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.736140 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.772887 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.809001 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.836308 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.872468 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.908617 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.944660 29923 Tracker.cpp:384] Full detection.
I0621 18:47:38.972097 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.008170 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.034142 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.071321 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.097467 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.144179 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.171615 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.210117 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.235666 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.271227 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.309659 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.366818 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.370679 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.395176 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.439438 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.466287 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.502357 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.540395 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.577533 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.613703 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.642108 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.679095 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.706491 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.742471 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.770074 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.805559 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.831109 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.876700 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.905409 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.940948 29923 Tracker.cpp:384] Full detection.
I0621 18:47:39.966466 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.002115 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.028539 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.074198 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.109793 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.135390 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.171054 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.206571 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.242245 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.277829 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.303383 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.339409 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.366540 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.412742 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.438910 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.475008 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.501031 29923 Tracker.cpp:384] Full detection.
I0621 18:47:40.537134 29923 Tracker.cpp:384] Full detection.
